#
23450123154610,50.346638,N,6.965705,E,5.531,571.600
23450123154611,50.346622,N,6.965738,E,4.853,571.600
23450123154612,50.346600,N,6.965790,E,5.186,571.200
23450123154613,50.346600,N,6.965790,E,5.186,571.200
23450123154614,50.346581,N,6.965820,E,5.843,571.000
23450123154615,50.346535,N,6.965878,E,6.127,570.600
23450123154616,50.346535,N,6.965878,E,6.127,570.100
23450123154617,50.346508,N,6.965904,E,5.818,569.400
23450123154618,50.346458,N,6.965955,E,5.893,569.200
23450123154619,50.346458,N,6.965955,E,5.893,569.400
23450123154620,50.346420,N,6.965996,E,5.693,568.700
23450123154621,50.346394,N,6.966020,E,6.166,568.700
23450123154622,50.346394,N,6.966020,E,6.166,568.300
23450123154623,50.346348,N,6.966069,E,6.553,567.800
23450123154624,50.346321,N,6.966092,E,6.251,567.800
23450123154625,50.346321,N,6.966092,E,6.251,567.700
23450123154626,50.346264,N,6.966134,E,5.801,567.800
23450123154627,50.346241,N,6.966153,E,5.143,567.800
23450123154628,50.346241,N,6.966153,E,5.143,568.600
23450123154629,50.346191,N,6.966139,E,5.795,568.400
23450123154630,50.346191,N,6.966139,E,5.795,568.400
23450123154631,50.346176,N,6.966113,E,5.835,569.000
23450123154632,50.346142,N,6.966030,E,7.316,569.200
23450123154633,50.346142,N,6.966030,E,7.316,569.300
23450123154634,50.346127,N,6.965985,E,7.276,569.100
23450123154635,50.346092,N,6.965895,E,6.851,569.600
23450123154636,50.346092,N,6.965895,E,6.851,569.900
23450123154637,50.346077,N,6.965855,E,6.089,569.900
23450123154638,50.346046,N,6.965785,E,5.102,570.100
23450123154639,50.346046,N,6.965785,E,5.102,570.400
23450123154640,50.346035,N,6.965756,E,4.009,570.600
23450123154641,50.346027,N,6.965729,E,0.000,570.800
23450123154642,50.346027,N,6.965729,E,0.000,570.800
23450123154643,50.346027,N,6.965724,E,0.000,570.700
23450123154644,50.346027,N,6.965724,E,0.000,570.700
23450123154645,50.346027,N,6.965724,E,0.000,570.700
23450123154646,50.346027,N,6.965722,E,0.000,570.800
23450123154647,50.346027,N,6.965722,E,0.000,570.800
23450123154648,50.346027,N,6.965722,E,0.000,570.900
23450123154649,50.346027,N,6.965722,E,0.000,571.100
23450123154650,50.346027,N,6.965722,E,0.000,571.100
23450123154651,50.346027,N,6.965722,E,0.000,571.200
23450123154652,50.346027,N,6.965722,E,0.000,571.300
23450123154653,50.346027,N,6.965722,E,0.000,571.400
23450123154654,50.346027,N,6.965720,E,0.000,571.400
23450123154655,50.346027,N,6.965720,E,0.000,571.500
23450123154656,50.346027,N,6.965720,E,0.000,571.600
23450123154657,50.346027,N,6.965716,E,0.000,571.700
23450123154658,50.346027,N,6.965714,E,0.000,571.800
23450123154659,50.346027,N,6.965714,E,0.000,571.900
23450123154700,50.346020,N,6.965712,E,0.000,571.800
23450123154701,50.346020,N,6.965712,E,0.000,571.900
23450123154702,50.346020,N,6.965712,E,0.000,572.000
23450123154703,50.346020,N,6.965711,E,0.000,572.000
23450123154704,50.346020,N,6.965695,E,3.798,572.000
23450123154705,50.346020,N,6.965695,E,3.798,572.000
